"Date" "0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23"
"51" "20-DEC-2022" 0 0 0 0 1 2 1 0 0 0 1 0 0 3 2 0 0 6 5 6 0 0 0 0
"52" "19-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"53" "18-DEC-2022" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0
"54" "17-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"55" "16-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" "15-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"57" "14-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"58" "13-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"59" "12-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" "11-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 1 0 0 0 0
"61" "10-DEC-2022" 0 5 6 5 6 11 7 2 3 0 0 0 4 1 0 1 0 0 2 1 0 0 0 0
"62" "09-DEC-2022" 0 0 0 0 0 0 1 0 0 2 1 1 1 7 11 9 8 8 15 7 9 1 1 0
"63" "08-DEC-2022" 0 0 6 4 6 4 7 7 6 10 7 7 7 3 0 0 0 0 0 0 1 4 3 0
"64" "07-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" "06-DEC-2022" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"66" "05-DEC-2022" 1 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0
"67" "04-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 1 1 1 2 1 1 0 1
"68" "03-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"69" "02-DEC-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"70" "01-DEC-2022" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"71" "30-NOV-2022" 7 14 10 32 30 15 13 15 1 0 0 0 0 0 7 0 0 1 0 0 1 0 0 1
"72" "29-NOV-2022" 0 0 0 0 0 0 0 0 1 3 0 2 3 4 7 4 4 2 1 0 1 0 0 2
"73" "28-NOV-2022" 1 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"74" "27-NOV-2022" 0 0 0 0 0 0 4 12 13 12 1 0 0 0 5 0 0 0 1 0 0 0 0 0
"75" "26-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"76" "25-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 5 1 2 7 8 7 7 1 0 0 0 0
"77" "24-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"78" "23-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"79" "22-NOV-2022" 0 0 0 0 0 0 0 0 3 2 1 1 15 10 0 0 0 0 1 0 1 1 0 0
"80" "21-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"81" "20-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"82" "19-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"83" "18-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"84" "17-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"85" "16-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"86" "15-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"87" "14-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"88" "13-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"89" "12-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"90" "11-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"91" "10-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"92" "09-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"93" "08-NOV-2022" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"94" "07-NOV-2022" 4 4 1 0 0 2 0 1 1 5 4 4 10 1 1 0 0 0 2 2 1 0 0 0
"95" "06-NOV-2022" 0 0 0 1 1 4 8 15 23 12 1 0 0 0 1 3 3 4 8 4 1 0 3 5
"96" "05-NOV-2022" 0 0 0 0 0 0 0 1 0 0 0 0 6 1 0 0 0 0 0 0 0 1 0 0
"97" "04-NOV-2022" 0 0 0 1 5 15 7 9 8 10 1 1 22 18 18 11 6 10 15 17 14 7 1 14
"98" "03-NOV-2022" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 2 1 0 0 0 0 1
"99" "02-NOV-2022" 0 0 0 0 1 1 0 1 1 1 0 0 1 6 0 0 0 0 0 0 0 0 0 0
"100" "01-NOV-2022" 3 11 3 2 2 1 2 0 0 0 0 0 0 0 0 0 0 0 1 5 0 0 0 0
"101" "31-OCT-2022" 0 0 0 0 0 2 5 7 4 3 4 3 1 4 14 19 5 7 11 13 8 8 5 0
"102" "30-OCT-2022" 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"103" "29-OCT-2022" 2 4 9 6 2 3 1 1 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0
"104" "28-OCT-2022" 0 0 0 0 0 0 0 7 12 12 9 3 5 9 9 1 0 0 2 0 8 6 2 2
"105" "27-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"106" "26-OCT-2022" 4 0 1 2 3 0 4 8 6 0 4 1 0 3 4 0 0 0 0 0 0 0 0 0
"107" "25-OCT-2022" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 2 9 20 6 3 10 0 0 0
"108" "24-OCT-2022" 0 0 0 3 2 0 1 5 7 2 2 0 0 1 0 2 1 0 0 0 0 0 0 0
"109" "23-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"110" "22-OCT-2022" 0 0 0 9 1 0 1 2 0 1 2 0 11 0 0 0 0 0 0 0 0 0 0 0
"111" "21-OCT-2022" 0 0 0 0 0 0 0 0 0 0 1 2 5 10 11 18 4 2 2 0 7 2 0 0
"112" "20-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"113" "19-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"114" "18-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"115" "17-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"116" "16-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"117" "15-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"118" "14-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"119" "13-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"120" "12-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"121" "11-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"122" "10-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"123" "09-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"124" "08-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"125" "07-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"126" "06-OCT-2022" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"127" "05-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"128" "04-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"129" "03-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"130" "02-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"131" "01-OCT-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"132" "30-SEP-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"133" "29-SEP-2022" 1 7 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"134" "28-SEP-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 2 0
"135" "27-SEP-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"136" "26-SEP-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"137" "25-SEP-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"138" "24-SEP-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"139" "23-SEP-2022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
